,Symbol,Action,Expiry,Days To Expiry,Strike Price,Mid Price,Bid Price,Ask Price,Implied Volatility Rank,Earnings Date,Earnings Flag,Stock Price,Raw Return,Annualized Return,Distance To Strike
379,QQQM,Sell to Open,06/16/2023,38,$140.00,$0.60,$0.50,$0.70,0%,,N,$132.32,0.45%,4.47%,5.8%
380,VUG,Sell to Open,06/16/2023,38,$265.00,$1.12,$0.95,$1.30,1%,,N,$251.67,0.45%,4.41%,5.3%
381,DIA,Sell to Open,06/23/2023,45,$352.00,$1.47,$0.52,$2.43,8%,,N,$335.77,0.44%,3.64%,4.83%
382,GWW,Sell to Open,06/16/2023,38,$740.00,$3.00,$1.60,$4.40,17%,07/27/2023,N,$684.51,0.44%,4.32%,8.11%
383,RS,Sell to Open,06/16/2023,38,$270.00,$1.07,$0.95,$1.20,18%,07/27/2023,N,$243.18,0.44%,4.36%,11.03%
384,PM,Sell to Open,06/23/2023,45,$102.00,$0.42,$0.35,$0.50,16%,07/20/2023,N,$95.65,0.44%,3.69%,6.64%
385,ETN,Sell to Open,06/16/2023,38,$185.00,$0.72,$0.65,$0.80,18%,08/01/2023,N,$170.55,0.43%,4.19%,8.47%
386,ELV,Sell to Open,06/23/2023,45,$500.00,$1.97,$0.65,$3.30,21%,07/19/2023,N,$460.48,0.43%,3.56%,8.58%
387,LMT,Sell to Open,06/23/2023,45,$485.00,$1.95,$1.75,$2.15,22%,07/18/2023,N,$452.04,0.43%,3.58%,7.29%
388,MRK,Sell to Open,06/23/2023,45,$126.00,$0.51,$0.40,$0.62,15%,08/01/2023,N,$117.43,0.43%,3.6%,7.3%
389,V,Sell to Open,06/23/2023,45,$250.00,$1.00,$0.94,$1.07,9%,07/25/2023,N,$233.26,0.43%,3.57%,7.18%
390,XLK,Sell to Open,06/23/2023,45,$160.00,$0.62,$0.49,$0.76,5%,,N,$150.00,0.42%,3.46%,6.67%
391,LIN,Sell to Open,06/16/2023,38,$395.00,$1.52,$1.15,$1.90,13%,07/27/2023,N,$364.70,0.42%,4.13%,8.31%
392,VYM,Sell to Open,06/16/2023,38,$108.00,$0.42,$0.35,$0.50,17%,,N,$104.03,0.41%,4.03%,3.82%
393,IJR,Sell to Open,06/16/2023,38,$98.00,$0.37,$0.30,$0.45,15%,,N,$92.38,0.41%,4%,6.08%
394,LYB,Sell to Open,06/16/2023,38,$100.00,$0.37,$0.25,$0.50,22%,07/28/2023,N,$91.27,0.41%,4.05%,9.57%
395,XLP,Sell to Open,06/23/2023,45,$79.00,$0.31,$0.12,$0.51,8%,,N,$76.71,0.41%,3.41%,2.99%
396,MCD,Sell to Open,06/23/2023,45,$310.00,$1.18,$1.10,$1.27,8%,07/25/2023,N,$296.66,0.4%,3.31%,4.5%
397,GOLD,Sell to Open,06/23/2023,45,$24.50,$0.08,$0.06,$0.10,8%,08/07/2023,N,$19.78,0.4%,3.36%,23.86%
398,PINS,Sell to Open,06/23/2023,45,$27.00,$0.08,$0.07,$0.10,2%,07/31/2023,N,$21.47,0.4%,3.28%,25.76%
399,TMUS,Sell to Open,06/23/2023,45,$152.50,$0.57,$0.50,$0.64,1%,07/26/2023,N,$142.03,0.4%,3.33%,7.37%
400,AME,Sell to Open,06/16/2023,38,$155.00,$0.57,$0.30,$0.85,10%,08/01/2023,N,$144.41,0.4%,3.93%,7.33%
401,WMT,Sell to Open,06/23/2023,45,$165.00,$0.61,$0.58,$0.65,32%,05/18/2023,Y,$152.98,0.4%,3.33%,7.86%
402,ORLY,Sell to Open,06/16/2023,38,"$1,010.00",$3.70,$2.80,$4.60,6%,07/26/2023,N,$953.46,0.39%,3.83%,5.93%
403,IYH,Sell to Open,06/16/2023,38,$290.00,$1.05,$0.60,$1.50,7%,,N,$279.29,0.38%,3.71%,3.83%
404,IWD,Sell to Open,06/16/2023,38,$157.00,$0.57,$0.40,$0.75,8%,,N,$151.39,0.38%,3.75%,3.71%
405,SAP,Sell to Open,06/16/2023,38,$145.00,$0.50,$0.45,$0.55,11%,07/20/2023,N,$134.68,0.37%,3.66%,7.66%
406,VGT,Sell to Open,06/16/2023,38,$410.00,$1.42,$1.20,$1.65,1%,,N,$383.78,0.37%,3.66%,6.83%
407,RTX,Sell to Open,06/23/2023,45,$104.00,$0.35,$0.31,$0.40,15%,07/25/2023,N,$96.27,0.37%,3.06%,8.03%
408,CCI,Sell to Open,06/16/2023,38,$130.00,$0.42,$0.35,$0.50,29%,07/19/2023,N,$117.05,0.36%,3.58%,11.06%
409,ITA,Sell to Open,06/16/2023,38,$118.00,$0.40,$0.30,$0.50,6%,,N,$112.43,0.36%,3.51%,4.95%
410,SPY,Sell to Open,06/23/2023,45,$430.00,$1.44,$1.43,$1.46,7%,,N,$410.93,0.35%,2.92%,4.64%
411,PAYX,Sell to Open,06/16/2023,38,$115.00,$0.37,$0.30,$0.45,11%,06/28/2023,N,$107.25,0.35%,3.45%,7.23%
412,VMC,Sell to Open,06/16/2023,38,$210.00,$0.67,$0.60,$0.75,0%,08/03/2023,N,$193.11,0.35%,3.45%,8.75%
413,IWF,Sell to Open,06/16/2023,38,$260.00,$0.85,$0.70,$1.00,0%,,N,$246.44,0.34%,3.4%,5.5%
414,MDY,Sell to Open,06/16/2023,38,$475.00,$1.52,$1.15,$1.90,15%,,N,$446.57,0.34%,3.37%,6.37%
415,JNJ,Sell to Open,06/23/2023,45,$170.00,$0.53,$0.48,$0.59,0%,07/20/2023,N,$161.05,0.33%,2.76%,5.56%
416,RSP,Sell to Open,06/16/2023,38,$149.00,$0.47,$0.40,$0.55,9%,,N,$142.24,0.33%,3.29%,4.75%
417,DVY,Sell to Open,06/16/2023,38,$118.00,$0.37,$0.30,$0.45,22%,,N,$113.17,0.33%,3.27%,4.27%
418,ALL,Sell to Open,06/16/2023,38,$130.00,$0.37,$0.30,$0.45,25%,08/02/2023,N,$118.42,0.32%,3.12%,9.78%
419,PG,Sell to Open,06/23/2023,45,$162.50,$0.49,$0.39,$0.60,3%,07/28/2023,N,$153.71,0.32%,2.67%,5.72%
420,VOO,Sell to Open,06/16/2023,38,$395.00,$1.22,$1.10,$1.35,7%,,N,$377.54,0.32%,3.2%,4.62%
421,SIVR,Sell to Open,06/16/2023,38,$30.00,$0.07,$0.05,$0.10,36%,,N,$24.54,0.31%,3.01%,22.25%
422,ITW,Sell to Open,06/16/2023,38,$250.00,$0.70,$0.50,$0.90,26%,08/02/2023,N,$228.25,0.31%,3.03%,9.53%
423,KMI,Sell to Open,06/23/2023,45,$18.50,$0.05,$0.03,$0.07,18%,07/19/2023,N,$16.85,0.3%,2.46%,9.79%
424,LQD,Sell to Open,06/23/2023,45,$112.00,$0.32,$0.28,$0.36,13%,,N,$107.72,0.3%,2.46%,3.97%
425,VST,Sell to Open,06/16/2023,38,$28.00,$0.07,$0.05,$0.10,37%,05/09/2023,Y,$24.60,0.3%,3.01%,13.82%
426,PGR,Sell to Open,06/16/2023,38,$150.00,$0.40,$0.20,$0.60,48%,07/14/2023,N,$135.70,0.29%,2.91%,10.54%
427,IEI,Sell to Open,06/16/2023,38,$121.00,$0.32,$0.25,$0.40,42%,,N,$117.99,0.28%,2.72%,2.55%
428,XLV,Sell to Open,06/23/2023,45,$138.50,$0.37,$0.18,$0.56,12%,,N,$132.41,0.28%,2.32%,4.6%
429,IJH,Sell to Open,06/16/2023,38,$260.00,$0.65,$0.55,$0.75,12%,,N,$243.68,0.27%,2.63%,6.7%
430,WM,Sell to Open,06/23/2023,45,$180.00,$0.45,$0.25,$0.65,3%,07/26/2023,N,$169.46,0.27%,2.2%,6.22%
431,TRV,Sell to Open,06/16/2023,38,$200.00,$0.50,$0.35,$0.65,26%,07/20/2023,N,$183.75,0.27%,2.68%,8.84%
432,CB,Sell to Open,06/16/2023,38,$220.00,$0.55,$0.40,$0.70,23%,07/25/2023,N,$201.48,0.27%,2.69%,9.19%
433,VIG,Sell to Open,06/16/2023,38,$162.00,$0.40,$0.30,$0.50,9%,,N,$155.51,0.26%,2.54%,4.17%
434,TIP,Sell to Open,06/16/2023,38,$114.00,$0.28,$0.26,$0.30,42%,,N,$109.21,0.26%,2.53%,4.39%
435,VTV,Sell to Open,06/16/2023,38,$144.00,$0.35,$0.25,$0.45,17%,,N,$137.74,0.25%,2.51%,4.54%
436,AON,Sell to Open,06/16/2023,38,$360.00,$0.80,$0.55,$1.05,5%,07/28/2023,N,$334.92,0.24%,2.36%,7.49%
437,SYK,Sell to Open,06/16/2023,38,$310.00,$0.67,$0.60,$0.75,0%,07/25/2023,N,$283.65,0.24%,2.35%,9.29%
438,STLD,Sell to Open,06/16/2023,38,$125.00,$0.22,$0.10,$0.35,22%,07/19/2023,N,$97.52,0.23%,2.28%,28.18%
439,IVV,Sell to Open,06/23/2023,45,$435.00,$0.95,$0.70,$1.20,6%,,N,$412.83,0.23%,1.91%,5.37%
440,XLF,Sell to Open,06/23/2023,45,$35.00,$0.07,$0.05,$0.09,10%,,N,$32.26,0.22%,1.8%,8.49%
441,UUP,Sell to Open,06/23/2023,45,$29.00,$0.06,$0.02,$0.10,0%,,N,$27.79,0.22%,1.79%,4.35%
442,VTI,Sell to Open,06/16/2023,38,$215.00,$0.45,$0.35,$0.55,7%,,N,$204.07,0.22%,2.18%,5.36%
443,VLO,Sell to Open,06/16/2023,38,$135.00,$0.23,$0.19,$0.27,18%,07/27/2023,N,$108.40,0.21%,2.09%,24.54%
444,WBA,Sell to Open,06/23/2023,45,$36.00,$0.06,$0.04,$0.09,20%,06/29/2023,N,$31.44,0.21%,1.72%,14.5%
445,ABBV,Sell to Open,06/23/2023,45,$160.00,$0.31,$0.26,$0.37,8%,07/28/2023,N,$146.83,0.21%,1.78%,8.97%
446,CMCSA,Sell to Open,06/23/2023,45,$45.00,$0.08,$0.01,$0.15,8%,07/27/2023,N,$39.62,0.2%,1.68%,13.58%
447,ENB,Sell to Open,06/16/2023,38,$42.50,$0.07,$0.05,$0.10,14%,07/28/2023,N,$39.84,0.19%,1.86%,6.68%
448,FE,Sell to Open,06/16/2023,38,$43.00,$0.07,$0.05,$0.10,25%,08/01/2023,N,$38.91,0.19%,1.9%,10.51%
449,VO,Sell to Open,06/16/2023,38,$220.00,$0.40,$0.30,$0.50,13%,,N,$206.11,0.19%,1.91%,6.74%
450,SPYG,Sell to Open,06/16/2023,38,$60.00,$0.10,$0.05,$0.15,2%,,N,$55.83,0.18%,1.77%,7.47%
451,BK,Sell to Open,06/16/2023,38,$50.00,$0.07,$0.05,$0.10,22%,07/13/2023,N,$41.54,0.18%,1.78%,20.37%
452,KHC,Sell to Open,06/23/2023,45,$44.00,$0.07,$0.03,$0.11,4%,08/02/2023,N,$40.88,0.17%,1.42%,7.63%
453,SPLG,Sell to Open,06/16/2023,38,$53.00,$0.07,$0.05,$0.10,8%,,N,$48.33,0.16%,1.53%,9.66%
454,EPD,Sell to Open,06/23/2023,45,$28.00,$0.03,$0.01,$0.06,9%,08/03/2023,N,$25.52,0.14%,1.14%,9.72%
455,UL,Sell to Open,06/16/2023,38,$60.00,$0.07,$0.05,$0.10,7%,07/25/2023,N,$54.82,0.14%,1.35%,9.45%
456,BSX,Sell to Open,06/16/2023,38,$60.00,$0.07,$0.05,$0.10,14%,07/26/2023,N,$53.09,0.14%,1.39%,13.02%
457,PFE,Sell to Open,06/23/2023,45,$43.00,$0.05,$0.02,$0.08,0%,07/25/2023,N,$38.48,0.13%,1.08%,11.75%
458,C,Sell to Open,06/16/2023,38,$55.00,$0.06,$0.05,$0.07,26%,07/14/2023,N,$46.52,0.13%,1.27%,18.23%
459,EEM,Sell to Open,06/23/2023,45,$42.00,$0.05,$0.02,$0.08,2%,,N,$39.17,0.13%,1.06%,7.22%
460,MO,Sell to Open,06/23/2023,45,$51.00,$0.06,$0.01,$0.11,15%,08/01/2023,N,$46.44,0.13%,1.07%,9.82%
461,VZ,Sell to Open,06/23/2023,45,$42.00,$0.04,$0.03,$0.06,10%,07/25/2023,N,$37.57,0.12%,0.99%,11.79%
462,OKE,Sell to Open,06/16/2023,38,$75.00,$0.07,$0.05,$0.10,12%,08/07/2023,N,$63.86,0.12%,1.16%,17.44%
463,EWW,Sell to Open,05/19/2023,10,$67.00,$0.07,$0.05,$0.10,10%,,N,$61.86,0.12%,4.92%,8.31%
464,FTV,Sell to Open,06/16/2023,38,$75.00,$0.07,$0.05,$0.10,14%,07/27/2023,N,$64.53,0.12%,1.15%,16.23%
465,O,Sell to Open,06/16/2023,38,$67.50,$0.07,$0.05,$0.10,12%,08/03/2023,N,$62.22,0.12%,1.19%,8.49%
466,FTNT,Sell to Open,06/16/2023,38,$80.00,$0.07,$0.05,$0.10,3%,08/02/2023,N,$66.40,0.11%,1.11%,20.48%
467,SCHD,Sell to Open,06/16/2023,38,$75.00,$0.07,$0.05,$0.10,18%,,N,$70.36,0.11%,1.05%,6.59%
468,IEFA,Sell to Open,06/16/2023,38,$75.00,$0.07,$0.05,$0.10,8%,,N,$68.80,0.11%,1.08%,9.01%
469,K,Sell to Open,06/16/2023,38,$77.50,$0.07,$0.05,$0.10,4%,08/03/2023,N,$70.46,0.11%,1.05%,9.99%
470,PPH,Sell to Open,06/16/2023,38,$85.00,$0.07,$0.05,$0.10,4%,,N,$79.28,0.09%,0.93%,7.21%
471,KO,Sell to Open,06/23/2023,45,$68.00,$0.05,$0.02,$0.09,9%,07/26/2023,N,$63.39,0.09%,0.72%,7.27%
472,DUK,Sell to Open,06/16/2023,38,$110.00,$0.07,$0.05,$0.10,22%,05/09/2023,Y,$98.05,0.08%,0.75%,12.19%
473,JNK,Sell to Open,06/16/2023,38,$99.00,$0.07,$0.05,$0.10,4%,,N,$91.25,0.08%,0.81%,8.49%
474,VGK,Sell to Open,06/16/2023,38,$70.00,$0.05,$0.05,$0.05,3%,,N,$63.07,0.08%,0.78%,10.99%
475,GIS,Sell to Open,06/16/2023,38,$100.00,$0.07,$0.10,$0.05,10%,06/28/2023,N,$89.59,0.08%,0.83%,11.62%
476,ED,Sell to Open,06/16/2023,38,$110.00,$0.07,$0.05,$0.10,6%,08/03/2023,N,$98.77,0.08%,0.75%,11.37%
477,HYG,Sell to Open,06/23/2023,45,$77.00,$0.05,$0.02,$0.08,3%,,N,$74.36,0.07%,0.56%,3.55%
478,FXE,Sell to Open,06/16/2023,38,$108.00,$0.07,$0.05,$0.10,3%,,N,$101.19,0.07%,0.73%,6.73%
479,CL,Sell to Open,06/16/2023,38,$90.00,$0.05,$0.00,$0.10,1%,07/28/2023,N,$80.64,0.06%,0.61%,11.61%
480,RY,Sell to Open,06/16/2023,38,$150.00,$0.05,$0.00,$0.10,23%,05/25/2023,Y,$96.77,0.05%,0.51%,55.01%
481,FXF,Sell to Open,06/16/2023,38,$110.00,$0.05,$0.00,$0.10,17%,,N,$100.11,0.05%,0.49%,9.88%
